"PLAN_CARRIER_CODE","PLAN_FLIGHT_NUMBER","PLAN_FLIGHT_NUMBER_CHAR4","PLAN_FLIGHT_SEQ_NUMBER","PLAN_DEPARTURE_DATETIME_LOCAL","PLAN_DEPARTURE_DATE_LOCAL","PLAN_DEPARTURE_TIME_LOCAL","PLAN_DEPARTURE_DATETIME_UTC","PLAN_DEPARTURE_DATE_UTC","PLAN_DEPARTURE_TIME_UTC","PLAN_ARRIVAL_DATETIME_LOCAL","PLAN_ARRIVAL_DATE_LOCAL","PLAN_ARRIVAL_TIME_LOCAL","PLAN_ARRIVAL_DATETIME_UTC","PLAN_ARRIVAL_DATE_UTC","PLAN_ARRIVAL_TIME_UTC","PLAN_DEPARTURE_STATION","PLAN_ARRIVAL_STATION","PLAN_START_OF_OPERATION","PLAN_END_OF_OPERATION","PLAN_DAYS_OF_OPERATION","PLAN_AC_OWNER","PLAN_SERVICE_TYPE","PLAN_AC_TYPE"
"AY",913,"0913","01",25.11.2017 08:30:00,25.11.2017 00:00:00,01.01.1900 08:30:00,25.11.2017 06:30:00,25.11.2017 00:00:00,01.01.1900 06:30:00,25.11.2017 09:00:00,25.11.2017 00:00:00,01.01.1900 09:00:00,25.11.2017 08:00:00,25.11.2017 00:00:00,01.01.1900 08:00:00,"HEL","OSL",29.10.2017 00:00:00,24.03.2018 00:00:00,"     67","AY","J","319"
"AY",1471,"1471","01",25.11.2017 08:30:00,25.11.2017 00:00:00,01.01.1900 08:30:00,25.11.2017 06:30:00,25.11.2017 00:00:00,01.01.1900 06:30:00,25.11.2017 10:00:00,25.11.2017 00:00:00,01.01.1900 10:00:00,25.11.2017 09:00:00,25.11.2017 00:00:00,01.01.1900 09:00:00,"HEL","VIE",29.10.2017 00:00:00,24.12.2017 00:00:00,"1234567","AY","J","320"
"AY",435,"0435","01",25.11.2017 08:55:00,25.11.2017 00:00:00,01.01.1900 08:55:00,25.11.2017 06:55:00,25.11.2017 00:00:00,01.01.1900 06:55:00,25.11.2017 10:00:00,25.11.2017 00:00:00,01.01.1900 10:00:00,25.11.2017 08:00:00,25.11.2017 00:00:00,01.01.1900 08:00:00,"HEL","OUL",29.10.2017 00:00:00,26.11.2017 00:00:00,"     67","AY","J","321"
"AY",1401,"1401","01",25.11.2017 09:20:00,25.11.2017 00:00:00,01.01.1900 09:20:00,25.11.2017 07:20:00,25.11.2017 00:00:00,01.01.1900 07:20:00,25.11.2017 10:55:00,25.11.2017 00:00:00,01.01.1900 10:55:00,25.11.2017 09:55:00,25.11.2017 00:00:00,01.01.1900 09:55:00,"HEL","MUC",04.11.2017 00:00:00,24.03.2018 00:00:00,"     6 ","AY","J","320"
"AY",1723,"1723","01",25.11.2017 09:25:00,25.11.2017 00:00:00,01.01.1900 09:25:00,25.11.2017 07:25:00,25.11.2017 00:00:00,01.01.1900 07:25:00,25.11.2017 13:55:00,25.11.2017 00:00:00,01.01.1900 13:55:00,25.11.2017 13:55:00,25.11.2017 00:00:00,01.01.1900 13:55:00,"HEL","LPA",04.11.2017 00:00:00,24.03.2018 00:00:00,"     6 ","AY","J","32B"
"AY",1573,"1573","01",25.11.2017 09:25:00,25.11.2017 00:00:00,01.01.1900 09:25:00,25.11.2017 07:25:00,25.11.2017 00:00:00,01.01.1900 07:25:00,25.11.2017 11:30:00,25.11.2017 00:00:00,01.01.1900 11:30:00,25.11.2017 10:30:00,25.11.2017 00:00:00,01.01.1900 10:30:00,"HEL","CDG",29.10.2017 00:00:00,24.12.2017 00:00:00,"1234567","AY","J","320"
"AY",1251,"1251","01",25.11.2017 09:30:00,25.11.2017 00:00:00,01.01.1900 09:30:00,25.11.2017 07:30:00,25.11.2017 00:00:00,01.01.1900 07:30:00,25.11.2017 10:50:00,25.11.2017 00:00:00,01.01.1900 10:50:00,25.11.2017 09:50:00,25.11.2017 00:00:00,01.01.1900 09:50:00,"HEL","BUD",25.11.2017 00:00:00,30.11.2017 00:00:00,"1234 6 ","AY","J","320"
"AY",1340,"1340","01",25.11.2017 07:30:00,25.11.2017 00:00:00,01.01.1900 07:30:00,25.11.2017 07:30:00,25.11.2017 00:00:00,01.01.1900 07:30:00,25.11.2017 12:20:00,25.11.2017 00:00:00,01.01.1900 12:20:00,25.11.2017 10:20:00,25.11.2017 00:00:00,01.01.1900 10:20:00,"LHR","HEL",30.10.2017 00:00:00,23.12.2017 00:00:00,"123456 ","AY","J","319"
"AY",532,"0532","01",25.11.2017 09:35:00,25.11.2017 00:00:00,01.01.1900 09:35:00,25.11.2017 07:35:00,25.11.2017 00:00:00,01.01.1900 07:35:00,25.11.2017 10:50:00,25.11.2017 00:00:00,01.01.1900 10:50:00,25.11.2017 08:50:00,25.11.2017 00:00:00,01.01.1900 08:50:00,"RVN","HEL",25.11.2017 00:00:00,25.11.2017 00:00:00,"     6 ","AY","J","32B"
"AY",802,"0802","01",25.11.2017 08:40:00,25.11.2017 00:00:00,01.01.1900 08:40:00,25.11.2017 07:40:00,25.11.2017 00:00:00,01.01.1900 07:40:00,25.11.2017 10:35:00,25.11.2017 00:00:00,01.01.1900 10:35:00,25.11.2017 08:35:00,25.11.2017 00:00:00,01.01.1900 08:35:00,"ARN","HEL",18.11.2017 00:00:00,25.11.2017 00:00:00,"1  456 ","AY","J","321"
"AY",1221,"1221","01",25.11.2017 09:40:00,25.11.2017 00:00:00,01.01.1900 09:40:00,25.11.2017 07:40:00,25.11.2017 00:00:00,01.01.1900 07:40:00,25.11.2017 10:45:00,25.11.2017 00:00:00,01.01.1900 10:45:00,25.11.2017 09:45:00,25.11.2017 00:00:00,01.01.1900 09:45:00,"HEL","PRG",25.11.2017 00:00:00,01.12.2017 00:00:00," 2 456 ","AY","J","321"
"AY",1143,"1143","01",25.11.2017 09:45:00,25.11.2017 00:00:00,01.01.1900 09:45:00,25.11.2017 07:45:00,25.11.2017 00:00:00,01.01.1900 07:45:00,25.11.2017 10:25:00,25.11.2017 00:00:00,01.01.1900 10:25:00,25.11.2017 09:25:00,25.11.2017 00:00:00,01.01.1900 09:25:00,"HEL","WAW",25.11.2017 00:00:00,02.12.2017 00:00:00,"     6 ","AY","J","319"
"AY",637,"0637","01",25.11.2017 10:05:00,25.11.2017 00:00:00,01.01.1900 10:05:00,25.11.2017 08:05:00,25.11.2017 00:00:00,01.01.1900 08:05:00,25.11.2017 11:40:00,25.11.2017 00:00:00,01.01.1900 11:40:00,25.11.2017 09:40:00,25.11.2017 00:00:00,01.01.1900 09:40:00,"HEL","IVL",18.11.2017 00:00:00,25.11.2017 00:00:00,"     6 ","AY","J","321"
"AY",637,"0637","01",25.11.2017 10:10:00,25.11.2017 00:00:00,01.01.1900 10:10:00,25.11.2017 08:10:00,25.11.2017 00:00:00,01.01.1900 08:10:00,25.11.2017 11:40:00,25.11.2017 00:00:00,01.01.1900 11:40:00,25.11.2017 09:40:00,25.11.2017 00:00:00,01.01.1900 09:40:00,"HEL","KTT",29.10.2017 00:00:00,29.11.2017 00:00:00,"1234567","AY","J","321"
"AY",1432,"1432","01",25.11.2017 09:20:00,25.11.2017 00:00:00,01.01.1900 09:20:00,25.11.2017 08:20:00,25.11.2017 00:00:00,01.01.1900 08:20:00,25.11.2017 12:10:00,25.11.2017 00:00:00,01.01.1900 12:10:00,25.11.2017 10:10:00,25.11.2017 00:00:00,01.01.1900 10:10:00,"TXL","HEL",25.11.2017 00:00:00,25.11.2017 00:00:00,"     6 ","AY","J","320"
"AY",436,"0436","01",25.11.2017 10:30:00,25.11.2017 00:00:00,01.01.1900 10:30:00,25.11.2017 08:30:00,25.11.2017 00:00:00,01.01.1900 08:30:00,25.11.2017 11:30:00,25.11.2017 00:00:00,01.01.1900 11:30:00,25.11.2017 09:30:00,25.11.2017 00:00:00,01.01.1900 09:30:00,"OUL","HEL",29.10.2017 00:00:00,24.03.2018 00:00:00,"     67","AY","J","321"
"AY",1654,"1654","01",25.11.2017 10:15:00,25.11.2017 00:00:00,01.01.1900 10:15:00,25.11.2017 09:15:00,25.11.2017 00:00:00,01.01.1900 09:15:00,25.11.2017 15:10:00,25.11.2017 00:00:00,01.01.1900 15:10:00,25.11.2017 13:10:00,25.11.2017 00:00:00,01.01.1900 13:10:00,"BCN","HEL",29.10.2017 00:00:00,24.12.2017 00:00:00,"1234567","AY","J","32B"
"AY",1662,"1662","01",25.11.2017 10:20:00,25.11.2017 00:00:00,01.01.1900 10:20:00,25.11.2017 09:20:00,25.11.2017 00:00:00,01.01.1900 09:20:00,25.11.2017 15:30:00,25.11.2017 00:00:00,01.01.1900 15:30:00,25.11.2017 13:30:00,25.11.2017 00:00:00,01.01.1900 13:30:00,"MAD","HEL",29.10.2017 00:00:00,24.12.2017 00:00:00,"1234567","AY","J","32B"
"AY",1682,"1682","01",25.11.2017 10:30:00,25.11.2017 00:00:00,01.01.1900 10:30:00,25.11.2017 09:30:00,25.11.2017 00:00:00,01.01.1900 09:30:00,25.11.2017 16:00:00,25.11.2017 00:00:00,01.01.1900 16:00:00,25.11.2017 14:00:00,25.11.2017 00:00:00,01.01.1900 14:00:00,"AGP","HEL",30.10.2017 00:00:00,04.12.2017 00:00:00,"1 3 56 ","AY","J","32B"
"AY",1433,"1433","01",25.11.2017 11:30:00,25.11.2017 00:00:00,01.01.1900 11:30:00,25.11.2017 09:30:00,25.11.2017 00:00:00,01.01.1900 09:30:00,25.11.2017 12:25:00,25.11.2017 00:00:00,01.01.1900 12:25:00,25.11.2017 11:25:00,25.11.2017 00:00:00,01.01.1900 11:25:00,"HEL","TXL",19.11.2017 00:00:00,25.11.2017 00:00:00,"1  4567","AY","J","321"
"AY",1572,"1572","01",25.11.2017 10:50:00,25.11.2017 00:00:00,01.01.1900 10:50:00,25.11.2017 09:50:00,25.11.2017 00:00:00,01.01.1900 09:50:00,25.11.2017 14:50:00,25.11.2017 00:00:00,01.01.1900 14:50:00,25.11.2017 12:50:00,25.11.2017 00:00:00,01.01.1900 12:50:00,"CDG","HEL",29.10.2017 00:00:00,24.12.2017 00:00:00,"1234567","AY","J","32B"
"AY",485,"0485","01",25.11.2017 11:50:00,25.11.2017 00:00:00,01.01.1900 11:50:00,25.11.2017 09:50:00,25.11.2017 00:00:00,01.01.1900 09:50:00,25.11.2017 13:05:00,25.11.2017 00:00:00,01.01.1900 13:05:00,25.11.2017 11:05:00,25.11.2017 00:00:00,01.01.1900 11:05:00,"HEL","KAO",25.11.2017 00:00:00,28.11.2017 00:00:00," 2   67","AY","J","320"
"AY",1770,"1770","01",25.11.2017 10:55:00,25.11.2017 00:00:00,01.01.1900 10:55:00,25.11.2017 09:55:00,25.11.2017 00:00:00,01.01.1900 09:55:00,25.11.2017 15:20:00,25.11.2017 00:00:00,01.01.1900 15:20:00,25.11.2017 13:20:00,25.11.2017 00:00:00,01.01.1900 13:20:00,"FCO","HEL",24.11.2017 00:00:00,27.11.2017 00:00:00,"1   56 ","AY","J","32B"
"AY",1512,"1512","01",25.11.2017 10:55:00,25.11.2017 00:00:00,01.01.1900 10:55:00,25.11.2017 09:55:00,25.11.2017 00:00:00,01.01.1900 09:55:00,25.11.2017 14:45:00,25.11.2017 00:00:00,01.01.1900 14:45:00,25.11.2017 12:45:00,25.11.2017 00:00:00,01.01.1900 12:45:00,"ZRH","HEL",18.11.2017 00:00:00,25.11.2017 00:00:00,"   4 6 ","AY","J","319"
"AY",953,"0953","01",25.11.2017 12:00:00,25.11.2017 00:00:00,01.01.1900 12:00:00,25.11.2017 10:00:00,25.11.2017 00:00:00,01.01.1900 10:00:00,25.11.2017 12:40:00,25.11.2017 00:00:00,01.01.1900 12:40:00,25.11.2017 11:40:00,25.11.2017 00:00:00,01.01.1900 11:40:00,"HEL","CPH",17.11.2017 00:00:00,29.11.2017 00:00:00,"123 567","AY","J","319"
"AY",637,"0637","02",25.11.2017 12:15:00,25.11.2017 00:00:00,01.01.1900 12:15:00,25.11.2017 10:15:00,25.11.2017 00:00:00,01.01.1900 10:15:00,25.11.2017 12:45:00,25.11.2017 00:00:00,01.01.1900 12:45:00,25.11.2017 10:45:00,25.11.2017 00:00:00,01.01.1900 10:45:00,"IVL","KTT",18.11.2017 00:00:00,25.11.2017 00:00:00,"     6 ","AY","J","321"
"AY",807,"0807","01",25.11.2017 12:15:00,25.11.2017 00:00:00,01.01.1900 12:15:00,25.11.2017 10:15:00,25.11.2017 00:00:00,01.01.1900 10:15:00,25.11.2017 12:15:00,25.11.2017 00:00:00,01.01.1900 12:15:00,25.11.2017 11:15:00,25.11.2017 00:00:00,01.01.1900 11:15:00,"HEL","ARN",04.11.2017 00:00:00,24.03.2018 00:00:00,"     6 ","AY","J","32B"
"AY",637,"0637","02",25.11.2017 12:15:00,25.11.2017 00:00:00,01.01.1900 12:15:00,25.11.2017 10:15:00,25.11.2017 00:00:00,01.01.1900 10:15:00,25.11.2017 12:45:00,25.11.2017 00:00:00,01.01.1900 12:45:00,25.11.2017 10:45:00,25.11.2017 00:00:00,01.01.1900 10:45:00,"KTT","IVL",29.10.2017 00:00:00,29.11.2017 00:00:00,"1234567","AY","J","321"
"AY",1472,"1472","01",25.11.2017 11:15:00,25.11.2017 00:00:00,01.01.1900 11:15:00,25.11.2017 10:15:00,25.11.2017 00:00:00,01.01.1900 10:15:00,25.11.2017 14:40:00,25.11.2017 00:00:00,01.01.1900 14:40:00,25.11.2017 12:40:00,25.11.2017 00:00:00,01.01.1900 12:40:00,"VIE","HEL",29.10.2017 00:00:00,24.12.2017 00:00:00,"1234567","AY","J","320"
